Year;Internet_Res1;Internet_Bus1;VoD1;VoIP1;Internet_Res2;Internet_Bus2;VoD2;VoIP2;Internet_Res3;Internet_Bus3;VoD3;VoIP3
2004;7,60;0,40;0,00;0,000;21,05;0,40;0,00;0,000;3,16;0,40;0,00;0,000
2005;10,00;0,50;0,00;0,000;23,11;0,50;0,00;0,000;3,23;0,50;0,00;0,000
2006;13,00;0,68;0,00;0,000;23,61;0,68;0,00;0,000;4,77;0,68;0,00;0,000
2007;16,00;0,90;0,00;0,000;24,15;0,90;0,00;0,000;7,61;0,90;0,00;0,000
2008;20,00;0,97;0,01;0,000;25,59;0,97;0,01;0,000;9,68;0,97;0,01;0,000
2009;23,00;1,13;0,10;0,001;27,10;1,13;0,10;0,001;11,30;1,13;0,10;0,001
2010;26,50;1,36;0,80;0,002;27,40;1,36;0,80;0,002;13,27;1,36;0,80;0,002
2011;28,80;1,52;1,00;0,004;28,62;1,52;1,00;0,004;16,86;1,52;1,00;0,004
2012;30,50;1,70;1,24;0,018;30,23;1,70;1,24;0,018;18,19;1,70;1,24;0,018
2013;31,90;1,80;1,30;0,020;30,85;1,80;1,30;0,020;20,19;1,80;1,30;0,020
;;;;;;;;;;;;
